time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
1.04602,0.00349995,0.0464987,1.9884,-0.153235,-36.0691
1.04789,0.00349995,0,1.9884,0,81.7496
1.05257,0.00349995,0,1.9884,0,0
1.05569,0.00381919,0.102128,1.98735,-0.336321,-107.591
1.05977,0.00381919,0,1.98735,0,82.4834
1.06389,0.00381919,0,1.98735,0,0
1.06816,0.00406639,0.0578549,1.98654,-0.190335,-44.5469
1.07563,0.00406639,0,1.98654,0,25.473
1.07965,0.00441014,0.0856265,1.98541,-0.281447,-70.1077
1.08362,0.00441014,0,1.98541,0,70.8652
1.08762,0.00467053,0.0649977,1.98455,-0.213414,-53.2717
1.09216,0.00467053,0,1.98455,0,47.0375
1.09584,0.00501755,0.0942145,1.98341,-0.309017,-83.8961
1.09978,0.00501755,0,1.98341,0,78.6093
1.10434,0.00501755,0,1.98341,0,0
1.10771,0.00553334,0.153215,1.98172,-0.501877,-149.081
1.11307,0.00553334,0,1.98172,0,93.5691
1.11566,0.00631,0.299902,1.97919,-0.980206,-378.501
1.11942,0.00631,0,1.97919,0,260.918
1.12365,0.00701572,0.167015,1.97688,-0.544547,-128.872
1.12737,0.00701572,0,1.97688,0,146.194
1.13271,0.00701572,0,1.97688,0,0
1.13655,0.00782628,0.211243,1.97425,-0.687057,-179.056
1.1401,0.00782628,0,1.97425,0,193.586
1.14397,0.00782628,0,1.97425,0,0
1.14748,0.00840421,0.164452,1.97237,-0.53365,-151.851
1.15209,0.00840421,0,1.97237,0,115.842
1.15549,0.00857166,0.0492219,1.97183,-0.159507,-46.8862
1.15955,0.00857166,0,1.97183,0,39.3124
1.16337,0.00857166,0,1.97183,0,0
1.16829,0.00863285,0.0124453,1.97163,-0.0403249,-8.20247
1.17237,0.00863285,0,1.97163,0,9.87361
1.17585,0.00846775,-0.0475001,1.97217,0.153931,44.2881
1.17941,0.00846775,0,1.97217,0,-43.241
1.18369,0.00846775,0,1.97217,0,0
1.18802,0.00830986,-0.0364545,1.97268,0.118181,27.2851
1.19198,0.00830986,0,1.97268,0,-29.8823
1.19577,0.00798783,-0.0848618,1.97372,0.27532,72.5545
1.20031,0.00798783,0,1.97372,0,-60.6756
1.2039,0.00798783,0,1.97372,0,0
1.20764,0.00771438,-0.0732674,1.97461,0.237958,63.7581
1.21235,0.00771438,0,1.97461,0,-50.4305
1.21548,0.00729657,-0.133652,1.97597,0.434564,139.009
1.21958,0.00729657,0,1.97597,0,-105.89
1.22359,0.00729657,0,1.97597,0,0
1.22788,0.00694367,-0.0821488,1.97712,0.267455,62.2592
1.23332,0.00694367,0,1.97712,0,-49.2292
1.23572,0.00645117,-0.204665,1.97872,0.667245,277.284
1.24032,0.00645117,0,1.97872,0,-145.232
1.24452,0.00645117,0,1.97872,0,0
1.24801,0.00603136,-0.120423,1.9801,0.393175,112.782
1.2527,0.00603136,0,1.9801,0,-83.7954
1.25576,0.00547167,-0.183129,1.98193,0.598916,195.962
1.2599,0.00547167,0,1.98193,0,-144.544
1.26419,0.00498951,-0.112325,1.98351,0.367974,85.7251
1.26826,0.00498951,0,1.98351,0,-90.5216
1.27414,0.00498951,0,1.98351,0,0
1.27867,0.00436545,-0.137938,1.98555,0.452703,100.062
1.28084,0.00436545,0,1.98555,0,-207.971
1.28361,0.00436545,0,1.98555,0,0
1.28776,0.0038227,-0.130636,1.98734,0.429559,103.392
1.2927,0.0038227,0,1.98734,0,-87.0303
