time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0.91,-28.5521125523013,0.502769897869912,0,0,0,-0.0604708,1.98348485545835,0,0,0,0,-0.0617994306200076,0.00534432,0.0576608785831648,1.98234,-0.188969790761362,-17.4761931349263
0.92,-28.5384028636021,0.501896628987691,0,0,0,-0.0608897662647576,1.9832648053253,0,0,0,0,-0.0623351704345641,0.00566713,0,1.98129,0,87.0195084485386
0.93,-28.5110317602041,0.500142448554422,0,0,0,-0.0616387985544218,1.98257973426871,0,0,0,0,-0.0328440558460878,0.00609238,0.0472094253509134,1.9799,-0.154322502339426,2.20764036580351
0.94,-28.4991404625715,0.499392448147227,0,0,0,-0.0617399870430241,1.98221558816215,0,0,0,0,-0.00202158609798623,0.00632171273276062,-0.000763124084049171,1.97915046900395,0.00249165783608063,49.9996233967963
0.95,-28.4724454821894,0.497772011728931,0,0,0,-0.061256646872285,1.9814683753258,0,0,0,0,0.0628400080364897,0.00629674,0,1.97923,0,-2.73689688846347
0.96,-28.4595752800597,0.497022178989296,0,0,0,-0.0607824019417476,1.98125511575803,0,0,0,0,0.0806967000995765,0.00589809,0,1.98053,0,-91.3669810291693
0.97,-28.4326518210863,0.495506350159744,0,0,0,-0.0595072107774228,1.9811763599574,0,0,0,0,0.10249828315229,0.00513866146704621,-0.123322036785636,1.98301700021896,0.403796140135755,54.4530399386915
0.98,-28.4200143216713,0.494817232821545,0,0,0,-0.0588261957966272,1.98123161590737,0,0,0,0,0.108231801661213,0.0048153,0,1.98408,0,0
0.99,-28.3926688555347,0.493370022514071,0,0,0,-0.0572617449030644,1.9814792349385,0,0,0,0,0.115755970815093,0.00423467,-0.0747275658005033,1.98598,0.245386229673094,8.99961022632087
1,-28.3809426124197,0.492757989293362,0,0,0,-0.0566393882226981,1.9816370235546,0,0,0,0,0.094193274089936,0.00353411,-0.00947939544962267,1.98829,0.0311929404117072,-132.523372697722
1.01,-28.355473853211,0.491391623853211,0,0,0,-0.0560036316513761,1.98208353211009,0,0,0,0,0.0159751294036699,0.00307911,-0.0690854337053551,1.98979,0.227755948660708,28.1567734374971
1.02,-28.3410061068702,0.490591946564885,0,0,0,-0.0559926073791349,1.98235534351145,0,0,0,0,-0.00910301361832052,0.00303547618556701,0.000815228041237341,1.98993010309278,-0.00269124948453683,-14.9567841237112
1.03,-28.3159504332756,0.48917313864818,0,0,0,-0.0562919856152513,1.98280532062392,0,0,0,0,-0.0351011563258232,0.0030707,0,1.98982,0,4.95668747993588
1.04,-28.3072,0.488668,0,0,0,-0.0564856,1.98296,0,0,0,0,-0.0392931,0.00330241,0.0314796769230771,1.98905,-0.103829410256411,-5.69330871794904
1.05,-28.2747511482255,0.486762263048017,0,0,0,-0.0572525006263048,1.98340331941545,0,0,0,0,-0.0523830716075157,0.00349995,0,1.9884,0,44.8924085470077
1.06,-28.2617107692308,0.485982538461539,0,0,0,-0.0576155256410256,1.98354353846154,0,0,0,0,-0.0546809420512821,0.00381919,0,1.98735,0,77.8787441747581
1.07,-28.2398023529412,0.484659235294118,0,0,0,-0.0582223141176471,1.98372654901961,0,0,0,0,-0.058786908627451,0.00406639,0.0436041615796516,1.98654,-0.143451947791164,-27.2996957161977
1.08,-28.2221203045685,0.483574200507614,0,0,0,-0.0587750375634518,1.98383375634518,0,0,0,0,-0.0586808459390864,0.00441014,0.0780775642317365,1.98541,-0.256634292191431,-57.6793586901738
1.09,-28.1946167741935,0.481867275268817,0,0,0,-0.0596110443010753,1.98391058064516,0,0,0,0,-0.0598983602150538,0.00467053,0.0309240158590301,1.98455,-0.101536176211451,-0.686700881056062
1.1,-28.1829464019851,0.481134635235732,0,0,0,-0.0599734233250621,1.98389245657568,0,0,0,0,-0.0600154357320101,0.00501755,0,1.98341,0,74.8167460526298
1.11,-28.1567271095153,0.479472456014363,0,0,0,-0.0607748082585278,1.98358014362657,0,0,0,0,-0.0610318976660682,0.00553334,0.0877556063432804,1.98172,-0.287455669776109,-45.4114610074576
1.12,-28.1425757425743,0.478565081683168,0,0,0,-0.0612223289603961,1.98316851485149,0,0,0,0,-0.0607815608910892,0.00640676539007093,0.0229004018912542,1.97887326241135,-0.0746660189125335,207.471617021274
1.13,-28.1161418326693,0.476854023904383,0,0,0,-0.0620439637450199,1.98191215139442,0,0,0,0,-0.0611372804780878,0.00701572,0,1.97688,0,74.1920861423262
1.14,-28.1038084210526,0.476053242105263,0,0,0,-0.0623565378947368,1.98114957894737,0,0,0,0,-0.0372931347368438,0.00782628,0.00595050704225297,1.97425,-0.0193537183098573,183.089042253522
1.15,-28.0757759656652,0.474301933476395,0,0,0,-0.0621697015021459,1.97911416309013,0,0,0,0,0.048805646566523,0.00840421,0.0745563297180095,1.97237,-0.241936767895895,-5.51990238612561
1.16,-28.0636848101266,0.473579164556962,0,0,0,-0.0618021506329114,1.97826506329114,0,0,0,0,0.0699846670886068,0.00857166,0,1.97183,0,34.6813581151848
