time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.72,-28.934340213523132,0.5253600498220641,0.0,0.0,0.0,-0.05967492526690391,1.9829861209964412,0.0,0.0,0.0,0.0,-0.06134743843416371
0.73,-28.907256339814033,0.5236522711327134,0.0,0.0,0.0,-0.06050880917159763,1.9828517371090448,0.0,0.0,0.0,0.0,-0.0619845757185122
0.74,-28.894895171378533,0.5228647648236177,0.0,0.0,0.0,-0.06088887585689266,1.9826547460595447,0.0,0.0,0.0,0.0,-0.062327121541155904
0.75,-28.868076743710372,0.5211547905502147,0.0,0.0,0.0,-0.061535348537533244,1.9819292247903457,0.0,0.0,0.0,0.0,-0.0064225198813657736
0.76,-28.855735273972602,0.5203931164383562,0.0,0.0,0.0,-0.06147383082191781,1.9815252397260275,0.0,0.0,0.0,0.0,0.032484021232876664
0.77,-28.82786920152091,0.5187466237853823,0.0,0.0,0.0,-0.06062846861005492,1.980870356991973,0.0,0.0,0.0,0.0,0.08138983852978454
0.78,-28.815826908635795,0.518062013767209,0.0,0.0,0.0,-0.060104266833541926,1.9807829662077596,0.0,0.0,0.0,0.0,0.093664974718398
0.79,-28.788186030368763,0.5165416579175705,0.0,0.0,0.0,-0.05868030151843818,1.9808800412147505,0.0,0.0,0.0,0.0,0.10975250303687635
0.8,-28.775946227364184,0.515887005030181,0.0,0.0,0.0,-0.05799256061368206,1.9809918460764588,0.0,0.0,0.0,0.0,0.11388497384305836
0.81,-28.749827239709443,0.5145130726392252,0.0,0.0,0.0,-0.05663898571428571,1.9813658958837772,0.0,0.0,0.0,0.0,0.06466213619854666
0.82,-28.736476082004554,0.5137930194887371,0.0,0.0,0.0,-0.05632438792710706,1.9816199012908124,0.0,0.0,0.0,0.0,0.024736063882562002
0.83,-28.709638677270824,0.512297503557974,0.0,0.0,0.0,-0.05633014060276266,1.98217588530766,0.0,0.0,0.0,0.0,-0.02037160171619919
0.84,-28.696743973941366,0.5115616449511401,0.0,0.0,0.0,-0.05649668078175895,1.9824300651465798,0.0,0.0,0.0,0.0,-0.03307276807817582
0.85,-28.669752132399744,0.5099891826861872,0.0,0.0,0.0,-0.05705439242520687,1.9829005474220243,0.0,0.0,0.0,0.0,-0.048270965817950234
0.86,-28.6572263906211,0.5092472716388127,0.0,0.0,0.0,-0.05736653891244699,1.9830810675979047,0.0,0.0,0.0,0.0,-0.05244461858318783
0.87,-28.630147203482046,0.50761979390642,0.0,0.0,0.0,-0.05811303747551686,1.983389092491839,0.0,0.0,0.0,0.0,-0.0576316960826985
0.88,-28.621449554538888,0.5070930558632314,0.0,0.0,0.0,-0.05834606082350108,1.983465432217674,0.0,0.0,0.0,0.0,-0.05969499824223455
0.89,-28.59094421074127,0.5052112336124158,0.0,0.0,0.0,-0.059276595507453546,1.9836129691647948,0.0,0.0,0.0,0.0,-0.06078760677966103
0.9,-28.578245037783375,0.5044190554156172,0.0,0.0,0.0,-0.05965985375314862,1.983633007556675,0.0,0.0,0.0,0.0,-0.061502904634760686
0.91,-28.552112552301253,0.5027698978699124,0.0,0.0,0.0,-0.060470800000000005,1.9834848554583493,0.0,0.0,0.0,0.0,-0.06179943062000763
0.92,-28.53840286360211,0.5018966289876915,0.0,0.0,0.0,-0.06088976626475762,1.9832648053252953,0.0,0.0,0.0,0.0,-0.06233517043456409
0.93,-28.51103176020408,0.5001424485544217,0.0,0.0,0.0,-0.061638798554421774,1.9825797342687075,0.0,0.0,0.0,0.0,-0.03284405584608785
0.94,-28.4991404625715,0.49939244814722705,0.0,0.0,0.0,-0.06173998704302412,1.9822155881621488,0.0,0.0,0.0,0.0,-0.0020215860979862325
0.95,-28.4724454821894,0.4977720117289314,0.0,0.0,0.0,-0.06125664687228498,1.9814683753258038,0.0,0.0,0.0,0.0,0.06284000803648968
0.96,-28.459575280059745,0.4970221789892955,0.0,0.0,0.0,-0.06078240194174758,1.9812551157580285,0.0,0.0,0.0,0.0,0.08069670009957645
0.97,-28.43265182108626,0.4955063501597444,0.0,0.0,0.0,-0.059507210777422805,1.9811763599574015,0.0,0.0,0.0,0.0,0.10249828315228957
0.98,-28.420014321671278,0.49481723282154544,0.0,0.0,0.0,-0.05882619579662724,1.9812316159073748,0.0,0.0,0.0,0.0,0.10823180166121314
0.99,-28.39266885553471,0.4933700225140713,0.0,0.0,0.0,-0.05726174490306441,1.981479234938503,0.0,0.0,0.0,0.0,0.11575597081509277
1.0,-28.380942612419698,0.4927579892933619,0.0,0.0,0.0,-0.056639388222698074,1.9816370235546037,0.0,0.0,0.0,0.0,0.09419327408993601
1.01,-28.35547385321101,0.491391623853211,0.0,0.0,0.0,-0.056003631651376146,1.9820835321100918,0.0,0.0,0.0,0.0,0.015975129403669866
1.02,-28.341006106870232,0.4905919465648855,0.0,0.0,0.0,-0.05599260737913486,1.9823553435114505,0.0,0.0,0.0,0.0,-0.009103013618320518
1.03,-28.315950433275564,0.48917313864818024,0.0,0.0,0.0,-0.0562919856152513,1.982805320623917,0.0,0.0,0.0,0.0,-0.035101156325823175
1.04,-28.3072,0.488668,0.0,0.0,0.0,-0.0564856,1.98296,0.0,0.0,0.0,0.0,-0.0392931
1.05,-28.274751148225473,0.48676226304801673,0.0,0.0,0.0,-0.057252500626304804,1.9834033194154488,0.0,0.0,0.0,0.0,-0.05238307160751566
1.06,-28.26171076923077,0.4859825384615385,0.0,0.0,0.0,-0.05761552564102564,1.9835435384615385,0.0,0.0,0.0,0.0,-0.05468094205128214
1.07,-28.23980235294118,0.48465923529411764,0.0,0.0,0.0,-0.05822231411764706,1.9837265490196079,0.0,0.0,0.0,0.0,-0.05878690862745096
1.08,-28.22212030456853,0.4835742005076142,0.0,0.0,0.0,-0.05877503756345179,1.9838337563451778,0.0,0.0,0.0,0.0,-0.05868084593908644
1.09,-28.19461677419355,0.4818672752688172,0.0,0.0,0.0,-0.05961104430107527,1.9839105806451611,0.0,0.0,0.0,0.0,-0.059898360215053764
1.1,-28.182946401985113,0.48113463523573197,0.0,0.0,0.0,-0.05997342332506206,1.9838924565756824,0.0,0.0,0.0,0.0,-0.06001543573201014
1.11,-28.156727109515263,0.4794724560143626,0.0,0.0,0.0,-0.06077480825852784,1.9835801436265708,0.0,0.0,0.0,0.0,-0.06103189766606816
