time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.866878,-28.6436,0.508429,0,0,0,-0.0577882,1.98326,0,0,0,0,-0.0524877
0.871473,-28.6238,0.507238,0,0,0,-0.0582663,1.98345,0,0,0,0,-0.0600587
0.874761,-28.6238,0.507238,0,0,0,-0.0582663,1.98345,0,0,0,0,-0.0600587
0.879507,-28.6238,0.507238,0,0,0,-0.0582663,1.98345,0,0,0,0,-0.0600587
0.88366,-28.604,0.506017,0,0,0,-0.0589382,1.98358,0,0,0,0,-0.0569949
0.886771,-28.604,0.506017,0,0,0,-0.0589382,1.98358,0,0,0,0,-0.0569949
0.891668,-28.5842,0.504795,0,0,0,-0.0594514,1.98363,0,0,0,0,-0.0627468
0.894805,-28.5842,0.504795,0,0,0,-0.0594514,1.98363,0,0,0,0,-0.0627468
0.898806,-28.5842,0.504795,0,0,0,-0.0594514,1.98363,0,0,0,0,-0.0627468
0.902776,-28.5644,0.503545,0,0,0,-0.0601445,1.98364,0,0,0,0,-0.0586109
0.906737,-28.5644,0.503545,0,0,0,-0.0601445,1.98364,0,0,0,0,-0.0586109
0.911995,-28.5446,0.502296,0,0,0,-0.0606703,1.98339,0,0,0,0,-0.0637489
0.914851,-28.5446,0.502296,0,0,0,-0.0606703,1.98339,0,0,0,0,-0.0637489
0.918754,-28.5446,0.502296,0,0,0,-0.0606703,1.98339,0,0,0,0,-0.0637489
0.922735,-28.5248,0.50102,0,0,0,-0.0613715,1.98299,0,0,0,0,-0.059232
0.926729,-28.5248,0.50102,0,0,0,-0.0613715,1.98299,0,0,0,0,-0.059232
0.931433,-28.505,0.499758,0,0,0,-0.0617559,1.9824,0,0,0,0,-0.0212837
0.934782,-28.505,0.499758,0,0,0,-0.0617559,1.9824,0,0,0,0,-0.0212837
0.938804,-28.505,0.499758,0,0,0,-0.0617559,1.9824,0,0,0,0,-0.0212837
0.942825,-28.4853,0.498529,0,0,0,-0.0617024,1.98178,0,0,0,0,0.0434763
0.947011,-28.4853,0.498529,0,0,0,-0.0617024,1.98178,0,0,0,0,0.0434763
